country,full_name,club,position,matches,goals
Англия,William Vargas,Манчестер Юнайтед,полузащитник,100,11
Бразилия,Michael Pitts,Палмейрас,нападающий,88,44
Бразилия,Stephen Dixon,Коринтианс,полузащитник,50,29
Аргентина,Adam Brown,Ривер Плейт,нападающий,135,23
Португалия,Megan Evans,Спортинг,защитник,10,19
Россия,Amanda Bennett,Зенит,полузащитник,14,12
Бразилия,Maurice Smith,Палмейрас,вратарь,80,-45
Аргентина,Diana Nielsen,Ривер Плейт,вратарь,94,-25
Франция,Whitney Pena,Олимпик Марсель,полузащитник,141,7
Испания,Leslie Erickson,Атлетико Мадрид,защитник,1,20
Нидерланды,Paige Martin,Аякс,вратарь,89,-19
Испания,Gabriel Colon,Барселона,нападающий,47,46
Португалия,Jacob Turner,Спортинг,нападающий,121,37
Аргентина,Mr. Robert Vang MD,Бока Хуниорс,нападающий,81,18
Россия,Samantha Edwards,Локомотив,защитник,46,13
Франция,Renee Cardenas,Олимпик Марсель,защитник,19,15
Франция,Samantha Schroeder,Лион,нападающий,105,41
Россия,Kelsey Hernandez,Локомотив,защитник,88,13
Нидерланды,Kristine Andrade,Аякс,полузащитник,31,22
Германия,Eric Miller,Бавария,защитник,13,17
Аргентина,Jordan Williams,Бока Хуниорс,нападающий,10,23
Италия,Nicholas Harris,Ювентус,защитник,97,10
Португалия,Kevin Castillo,Спортинг,полузащитник,63,20
Россия,Paul Jones,Краснодар,полузащитник,3,30
Португалия,Danielle Higgins,Бенфика,вратарь,8,-20
Аргентина,Melissa Paul,Ривер Плейт,нападающий,53,39
Франция,Katrina Barnes,ПСЖ,нападающий,101,27
Португалия,Christopher Kerr,Бенфика,нападающий,68,37
Испания,Matthew Sutton,Атлетико Мадрид,нападающий,137,30
Нидерланды,Dana Johnson,ПСВ,вратарь,108,-48
Италия,Angela Singleton,Ювентус,нападающий,99,20
Франция,Angela Singh MD,Олимпик Марсель,полузащитник,79,12
Германия,Carla Melendez,Боруссия Дортмунд,нападающий,80,30
Бразилия,Joyce Acosta,Сантос,нападающий,35,39
Нидерланды,Zachary Rice,ПСВ,вратарь,37,-31
Аргентина,Rachel Reid,Ривер Плейт,нападающий,149,31
Нидерланды,Holly Dawson,Фейеноорд,защитник,145,8
Испания,Gabriel Reyes,Атлетико Мадрид,защитник,32,2
Россия,Tiffany Mendoza,ЦСКА,нападающий,33,11
Франция,Richard Hayes,Олимпик Марсель,защитник,11,17
Аргентина,Crystal Parker,Ривер Плейт,защитник,25,2
Аргентина,Tammy Lowery,Ривер Плейт,полузащитник,36,18
Аргентина,Eric Booker,Бока Хуниорс,защитник,129,2
Португалия,Robert Williams,Спортинг,полузащитник,109,8
Италия,Darrell Swanson,Ювентус,защитник,139,7
Испания,Samantha Miller,Атлетико Мадрид,нападающий,16,34
Россия,Lucas Joyce,ЦСКА,вратарь,91,-11
Португалия,Maria Hernandez,Порту,защитник,46,20
Англия,Malik Daniel,Манчестер Юнайтед,вратарь,22,-1
Италия,Melissa Spencer,Интер,защитник,134,3
Аргентина,Emma Huffman,Бока Хуниорс,защитник,133,6
Россия,Craig Baker,Краснодар,полузащитник,119,13
Италия,Scott Moore,Ювентус,нападающий,35,14
Испания,Leon Thomas,Атлетико Мадрид,защитник,79,2
Франция,Shannon Lin,Лион,полузащитник,16,26
Англия,Anna Smith,Челси,нападающий,125,49
Россия,Evelyn Obrien,ЦСКА,полузащитник,111,14
Россия,Joseph Stephenson,Локомотив,полузащитник,130,15
Россия,Heather Williams,Локомотив,полузащитник,31,29
Италия,Jaime Thomas,Ювентус,вратарь,29,-27
Нидерланды,Lindsay Lee,ПСВ,защитник,28,9
Бразилия,Kayla Torres,Коринтианс,нападающий,55,20
Германия,Nicholas Thomas,Бавария,нападающий,133,40
Португалия,Joel Lee,Спортинг,нападающий,56,50
Россия,Jamie Donovan,ЦСКА,защитник,67,4
Германия,Tricia Willis,Бавария,защитник,40,18
Аргентина,Lori Stewart,Ривер Плейт,полузащитник,117,25
Россия,Dana Arnold,Локомотив,защитник,73,10
Россия,Samantha Williamson,ЦСКА,полузащитник,7,13
Португалия,Sean Brown,Спортинг,полузащитник,52,30
Нидерланды,Judith Hill,ПСВ,защитник,59,20
Нидерланды,Molly Johnson,Фейеноорд,защитник,30,12
Италия,Gabriel Williams,Ювентус,защитник,116,0
Испания,Gabriel Li,Реал Мадрид,защитник,6,18
Англия,Danielle Stanley,Манчестер Юнайтед,защитник,73,9
Италия,Robert Fischer,Интер,защитник,150,11
Англия,Melanie Price,Челси,нападающий,81,20
Англия,Lisa Rodriguez,Челси,нападающий,46,41
Италия,Mrs. Jamie Oliver,Интер,нападающий,111,39
Аргентина,Timothy Parker,Бока Хуниорс,нападающий,80,33
Португалия,Caitlin Spencer,Порту,полузащитник,100,5
Германия,Dana Andrews,Бавария,нападающий,54,45
Бразилия,Kelly Lucas,Фламенго,нападающий,84,40
Германия,Rachel Carroll,РБ Лейпциг,полузащитник,93,18
Аргентина,Denise Ross,Ривер Плейт,полузащитник,144,14
Англия,Mike Bennett,Челси,нападающий,133,37
Аргентина,Daniel Brock,Бока Хуниорс,нападающий,149,10
Нидерланды,Johnny Walker,ПСВ,полузащитник,5,10
Италия,Marcus Wheeler,Ювентус,полузащитник,87,30
Португалия,Martin Jones,Бенфика,нападающий,2,23
Аргентина,Kelsey Hunter,Бока Хуниорс,защитник,92,11
Аргентина,Lorraine Horn,Бока Хуниорс,нападающий,78,29
Испания,Sara Mueller,Реал Мадрид,нападающий,4,19
Аргентина,Lauren Williams,Ривер Плейт,полузащитник,53,27
Испания,Andrew Waters,Барселона,защитник,144,15
Россия,Claudia Johnson,ЦСКА,нападающий,59,43
Франция,Dustin Callahan,Олимпик Марсель,нападающий,7,21
Аргентина,Juan Donaldson,Бока Хуниорс,полузащитник,86,28
Испания,Brian Thompson,Реал Мадрид,нападающий,32,19
Аргентина,Jaclyn Best,Бока Хуниорс,защитник,103,19
Аргентина,Nancy Davis,Ривер Плейт,нападающий,104,27
Германия,Kristen Washington,Боруссия Дортмунд,полузащитник,113,29
Нидерланды,Matthew Johnson,ПСВ,вратарь,142,-44
Бразилия,Randy Duran,Сантос,нападающий,4,23
Франция,Jacob Gonzalez,ПСЖ,защитник,21,10
Аргентина,Steven Oconnor,Ривер Плейт,защитник,127,19
Германия,Jill Chapman,Боруссия Дортмунд,полузащитник,127,19
Германия,Paul Thomas,Боруссия Дортмунд,полузащитник,29,25
Италия,Jennifer Bruce,Интер,нападающий,143,21
Италия,Jennifer Sawyer,Интер,защитник,56,15
Бразилия,Crystal Terry,Сантос,защитник,9,18
Англия,Robin Johnson,Ливерпуль,защитник,24,0
Россия,Susan Flores,Локомотив,защитник,7,1
Аргентина,Mrs. Jessica Black,Ривер Плейт,защитник,141,11
Франция,Bobby Miller,Олимпик Марсель,нападающий,20,15
Португалия,Elizabeth Brandt,Порту,полузащитник,40,11
Бразилия,Meagan Johnson,Сантос,защитник,82,16
Аргентина,Wesley Watkins,Ривер Плейт,нападающий,36,43
Нидерланды,Jose Jones,Фейеноорд,нападающий,47,29
Англия,Sara Perry,Ливерпуль,нападающий,27,45
Бразилия,James Ball,Сантос,полузащитник,11,9
Бразилия,Samuel Young,Коринтианс,нападающий,18,27
Италия,Monique Cooper,Интер,полузащитник,41,13
Германия,Katherine Brady,Боруссия Дортмунд,нападающий,112,10
Франция,Christopher Coleman,Олимпик Марсель,защитник,130,10
Россия,Edward Brown,ЦСКА,защитник,79,10
Нидерланды,Renee Robinson,Фейеноорд,защитник,132,17
Франция,Julian Miller,Лион,защитник,111,12
Италия,Kerry Price,Интер,полузащитник,149,30
Италия,Rachel Hartman,Ювентус,полузащитник,71,17
Бразилия,John Curry,Палмейрас,полузащитник,122,20
Аргентина,Cindy Brown,Бока Хуниорс,полузащитник,19,7
Англия,John Young,Манчестер Юнайтед,защитник,117,10
Россия,Matthew Mejia,Краснодар,полузащитник,87,27
Аргентина,Stephanie Santana,Ривер Плейт,вратарь,82,-22
Аргентина,James Wheeler,Ривер Плейт,нападающий,35,32
Англия,Vanessa Hicks,Манчестер Юнайтед,полузащитник,121,29
Россия,Daniel King,Спартак,полузащитник,144,18
Испания,Mark Brown,Реал Мадрид,полузащитник,131,23
Россия,Toni Reid,Спартак,защитник,24,11
Португалия,Jamie Dominguez,Бенфика,полузащитник,15,14
Нидерланды,Parker Miranda,Аякс,полузащитник,75,22
Нидерланды,Jennifer Wells,Фейеноорд,нападающий,146,33
Италия,Shawna Martin,Интер,защитник,6,3
Испания,Ricky Harris,Реал Мадрид,нападающий,102,17
Испания,Dalton Cooper,Барселона,полузащитник,36,15
Бразилия,Lisa Williams,Фламенго,полузащитник,126,25
Бразилия,Gary Nguyen,Палмейрас,вратарь,117,-27
Аргентина,Kelly Miller,Ривер Плейт,защитник,86,16
Аргентина,Joshua Mason,Бока Хуниорс,полузащитник,61,29
Испания,Stephen Garcia,Барселона,нападающий,13,32
Испания,Susan Ellis,Реал Мадрид,защитник,150,13
Бразилия,Jennifer Williams,Фламенго,полузащитник,60,10
Россия,Timothy Stevens,Краснодар,полузащитник,28,24
Аргентина,Kelly Jones,Бока Хуниорс,защитник,109,11
Италия,Michael Fernandez,Ювентус,полузащитник,13,27
Германия,Alyssa Lopez,Бавария,защитник,143,7
Германия,Ronald Bartlett,РБ Лейпциг,полузащитник,16,10
Англия,Austin Martin,Манчестер Юнайтед,полузащитник,113,13
Испания,Christina Bell,Барселона,защитник,150,5
Португалия,Dana Cobb,Порту,нападающий,6,39
Англия,Mark Gallegos,Ливерпуль,полузащитник,122,19
Англия,Gabriel Simpson,Манчестер Юнайтед,полузащитник,64,19
Германия,Stephanie Lopez,РБ Лейпциг,нападающий,131,36
Португалия,Scott Blake,Бенфика,полузащитник,131,17
Англия,Nathan Daniel,Манчестер Юнайтед,нападающий,96,47
Англия,Mrs. Gwendolyn Palmer,Челси,защитник,123,19
Нидерланды,Tara Reese,ПСВ,нападающий,44,18
Испания,Jennifer Crawford,Атлетико Мадрид,полузащитник,147,10
Германия,Meredith Jimenez,Бавария,нападающий,56,47
Германия,Rhonda Weber,Боруссия Дортмунд,полузащитник,84,10
Франция,Stephen Baldwin,Лион,нападающий,59,29
Аргентина,Charlotte Martinez,Бока Хуниорс,защитник,44,7
Англия,Cheryl Williams,Ливерпуль,нападающий,46,23
Франция,Monica Day,Лион,полузащитник,94,25
Франция,Heather Ross,Лион,полузащитник,46,8
Португалия,Sue Jenkins,Порту,полузащитник,141,19
Франция,Kelly Gordon,Олимпик Марсель,полузащитник,68,24
Аргентина,James Marsh,Бока Хуниорс,вратарь,108,-3
Англия,Melanie Ford,Ливерпуль,защитник,5,19
Португалия,Mark Peterson,Порту,нападающий,8,35
Германия,Dawn Watson,Боруссия Дортмунд,защитник,101,9
Россия,Maureen Williams,Спартак,защитник,35,13
Бразилия,Alan Williams,Сантос,вратарь,39,0
Нидерланды,Barry Duarte,ПСВ,защитник,95,3
Италия,John Spencer,Милан,вратарь,126,-19
Германия,Nicole Nelson,РБ Лейпциг,защитник,51,13
Португалия,John Dyer,Бенфика,нападающий,144,21
Нидерланды,Rhonda Strong,Аякс,полузащитник,88,9
Италия,Nathan Flores,Ювентус,защитник,121,10
Бразилия,Heather Elliott,Фламенго,полузащитник,140,26
Италия,Jennifer White,Интер,нападающий,110,38
Германия,Joseph Ryan,РБ Лейпциг,защитник,128,4
Нидерланды,April Johnson,ПСВ,полузащитник,32,6
Португалия,Curtis Martin,Порту,защитник,61,10
Россия,Andre Bryant,Локомотив,нападающий,53,38
Аргентина,Carly Nelson,Бока Хуниорс,нападающий,139,19
Нидерланды,Sean Ford,Фейеноорд,защитник,62,14
Франция,Frank Wright,Лион,защитник,9,11
Франция,Matthew Richards,Олимпик Марсель,нападающий,22,45
Португалия,Laura Burns,Порту,вратарь,85,-47
Италия,Ana Chen,Интер,полузащитник,13,16
Россия,Jamie Zimmerman,Локомотив,нападающий,15,30
Франция,Alan Murphy,ПСЖ,полузащитник,145,10
Португалия,Patricia Pineda,Спортинг,полузащитник,7,11
Португалия,Barry Nelson,Спортинг,полузащитник,58,24
Италия,Thomas Paul,Ювентус,вратарь,65,-48
Россия,Brian Moore,ЦСКА,защитник,41,14
Аргентина,Nathan Campbell,Бока Хуниорс,полузащитник,41,26
Аргентина,Deborah Brown,Ривер Плейт,вратарь,110,-39
Испания,Julia Ortiz,Реал Мадрид,защитник,47,9
Нидерланды,Peter Benson,Аякс,нападающий,2,11
Испания,David Gray,Атлетико Мадрид,нападающий,145,19
Россия,Scott Hudson,Зенит,полузащитник,58,5
Португалия,Patrick Chavez,Бенфика,защитник,106,0
Англия,Heidi Schmitt,Манчестер Юнайтед,нападающий,141,44
Нидерланды,Mark Walters,Аякс,полузащитник,72,30
Россия,Aaron Marsh,Локомотив,нападающий,98,13
Испания,Danielle Bradley,Атлетико Мадрид,нападающий,43,37
Италия,Michelle Brown,Ювентус,нападающий,15,24
Аргентина,Richard Macias,Бока Хуниорс,вратарь,37,-3
Португалия,Alicia Smith,Бенфика,полузащитник,116,23
Бразилия,James Kent,Коринтианс,защитник,57,15
Россия,Spencer Valenzuela,Зенит,полузащитник,51,10
Аргентина,Lisa Mason,Ривер Плейт,нападающий,42,21
Бразилия,Steven Clark,Палмейрас,полузащитник,81,22
Франция,Kyle Russell,Лион,полузащитник,91,14
Германия,Jennifer Henry,Бавария,полузащитник,101,28
Бразилия,Sarah Mayer,Палмейрас,защитник,73,9
Англия,Cody Lester,Ливерпуль,нападающий,30,31
Германия,Ronald Raymond,РБ Лейпциг,защитник,113,19
Аргентина,Samuel Tucker,Ривер Плейт,полузащитник,48,19
Испания,Brooke Price,Барселона,полузащитник,15,26
Бразилия,Frank Cox,Палмейрас,полузащитник,3,5
Бразилия,Taylor Roach,Коринтианс,полузащитник,39,22
Нидерланды,Carly Jones,Фейеноорд,полузащитник,35,13
Португалия,Mr. Joseph Richmond,Порту,защитник,145,9
Италия,Maureen Fletcher,Интер,полузащитник,11,19
Нидерланды,Jenny Holder,Фейеноорд,вратарь,92,-50
Германия,Jill Wright,Бавария,защитник,117,20
Германия,Alexandra Smith,РБ Лейпциг,полузащитник,59,14
Бразилия,Gina Love,Коринтианс,защитник,21,19
Аргентина,Paul Smith,Ривер Плейт,полузащитник,114,8
Англия,Mary Wright,Ливерпуль,защитник,73,2
Италия,Thomas Johnson,Интер,полузащитник,104,29
Франция,Breanna Smith,Олимпик Марсель,полузащитник,92,24
Россия,Tyler Perry,Локомотив,полузащитник,5,5
Англия,Raymond Griffin,Ливерпуль,защитник,23,13
Аргентина,Ronald Thomas,Бока Хуниорс,защитник,64,2
Бразилия,Tiffany Jennings,Коринтианс,защитник,70,0
Португалия,Reginald Stafford,Бенфика,защитник,142,13
Испания,Nancy Hurley,Атлетико Мадрид,полузащитник,130,28
Бразилия,Joe Smith,Фламенго,нападающий,30,12
Англия,Traci Holden,Манчестер Юнайтед,защитник,112,4
Аргентина,Joshua Powell,Ривер Плейт,полузащитник,78,15
Аргентина,Reginald Montgomery,Бока Хуниорс,нападающий,142,13
Франция,Bobby Maldonado,ПСЖ,полузащитник,110,22
Франция,Michelle Garcia,Олимпик Марсель,нападающий,124,38
Россия,Pamela Henderson,Локомотив,защитник,88,2
Испания,Jerome Johnson,Реал Мадрид,нападающий,139,20
Италия,Laura Snyder,Милан,полузащитник,55,14
Испания,Juan Smith,Атлетико Мадрид,нападающий,51,38
Испания,Joan Murphy,Барселона,защитник,2,2
Португалия,Jennifer Stevens,Порту,защитник,98,2
Испания,William Casey,Барселона,защитник,84,15
Бразилия,Angela Logan DVM,Сантос,вратарь,137,-48
Испания,Christine Baker,Барселона,полузащитник,94,16
Россия,Mary Jones,Зенит,полузащитник,3,18
Россия,Anna Barker,Зенит,полузащитник,18,22
Нидерланды,Amanda Pacheco,ПСВ,нападающий,129,17
Нидерланды,Cole Reyes,Фейеноорд,вратарь,13,-12
Аргентина,Jacob Dunn,Бока Хуниорс,нападающий,121,45
Португалия,Monica Carlson,Бенфика,нападающий,107,20
Германия,Gina Tucker,Бавария,защитник,89,7
Португалия,Paul Arnold,Бенфика,полузащитник,144,26
Испания,Sean Hicks,Барселона,полузащитник,36,27
Англия,Alvin Lawrence,Челси,полузащитник,132,29
Португалия,Regina Nicholson,Порту,полузащитник,110,21
Аргентина,Heidi Herman,Бока Хуниорс,защитник,63,8
Аргентина,Jennifer Hurley,Бока Хуниорс,полузащитник,42,29
Бразилия,Karen Valdez,Сантос,защитник,23,8
Германия,Melissa Christensen,Бавария,защитник,146,2
Португалия,Karen Walters,Порту,защитник,122,18
Германия,Megan Banks,Боруссия Дортмунд,нападающий,70,29
Бразилия,Matthew Hinton,Коринтианс,вратарь,1,-5
Нидерланды,Angela Haley,Аякс,вратарь,33,-49
Нидерланды,Janet Smith,Аякс,вратарь,60,-32
Россия,Ronnie Turner,Зенит,вратарь,44,-44
Аргентина,Tammy Peterson,Бока Хуниорс,полузащитник,101,26
Россия,Vanessa Jefferson,Локомотив,защитник,117,9
Португалия,Tammie Morgan,Бенфика,защитник,8,1
Нидерланды,Olivia Carlson,Аякс,полузащитник,97,30
Испания,Brenda Flores,Реал Мадрид,нападающий,149,19
Бразилия,Michael Rosario,Коринтианс,нападающий,146,27
Германия,Teresa Richardson,Бавария,полузащитник,12,15
Нидерланды,Andrew Johnson,Аякс,нападающий,104,33
Нидерланды,Rhonda Kelley,Аякс,нападающий,1,48
Аргентина,Tanner Branch,Ривер Плейт,нападающий,43,48
Бразилия,Denise Lynn,Фламенго,полузащитник,105,17
Англия,Annette Holden,Челси,защитник,12,9
Бразилия,Ronnie Cook,Коринтианс,вратарь,143,-44
Англия,Dr. Kristen Sanchez,Ливерпуль,защитник,127,2
Нидерланды,Alyssa Murray,Аякс,нападающий,55,21
Россия,Renee Fuller,Локомотив,нападающий,123,25
Бразилия,Nicole Lewis,Сантос,защитник,45,5
Аргентина,Dr. Paula Lopez,Ривер Плейт,защитник,25,17
Италия,David Stafford,Милан,защитник,59,8
Россия,Darryl Guzman,Краснодар,нападающий,147,28
Испания,Julia Ramirez,Атлетико Мадрид,вратарь,78,-49
Испания,Tyler Chavez,Реал Мадрид,полузащитник,78,30
Россия,Deanna Evans,Краснодар,нападающий,101,31
Германия,Kristy Gonzalez,Бавария,полузащитник,129,18
Аргентина,Lydia Martinez,Ривер Плейт,нападающий,21,46
Англия,Timothy Clark,Манчестер Юнайтед,нападающий,63,14
Германия,Tracy Cox,Боруссия Дортмунд,защитник,15,6
Бразилия,Patrick Park,Коринтианс,полузащитник,22,26
Испания,Haley Thompson,Барселона,защитник,42,5
Италия,Seth Colon,Интер,защитник,98,11
Франция,Eric Williams,ПСЖ,вратарь,91,-17
Нидерланды,David Mendoza,Аякс,полузащитник,88,18
Нидерланды,Michael Payne,ПСВ,защитник,26,11
Испания,Barbara Ferguson,Атлетико Мадрид,нападающий,52,24
Бразилия,Samantha Fleming,Фламенго,защитник,30,7
Германия,Donna Sharp,Бавария,нападающий,62,49
Россия,Kristin Hull MD,Спартак,нападающий,52,33
Италия,Richard Johnson,Милан,защитник,142,8
Испания,Jacob Mcbride,Барселона,нападающий,114,29
Англия,Elizabeth Allen,Манчестер Юнайтед,защитник,73,16
Россия,Kimberly Hale,Спартак,защитник,145,18
Испания,Shirley Thomas,Реал Мадрид,защитник,117,4
Нидерланды,Matthew Martin,Аякс,нападающий,108,30
Германия,Jennifer Flores,Бавария,вратарь,3,-16
Португалия,Corey Hansen,Спортинг,защитник,70,19
Аргентина,Sarah Becker,Бока Хуниорс,защитник,144,7
Россия,Matthew Cole,Локомотив,нападающий,122,18
Италия,Nathan Larson,Ювентус,нападающий,111,20
Португалия,Francis Montgomery,Спортинг,защитник,144,13
Португалия,Curtis Ray,Бенфика,защитник,7,10
Испания,Taylor Singh,Барселона,полузащитник,117,16
Россия,Karen Woods,Спартак,защитник,82,15
Германия,Lisa Warner,Бавария,полузащитник,7,15
Англия,Cheryl Stewart,Ливерпуль,полузащитник,22,12
Испания,Tracy Hensley,Барселона,защитник,36,18
Англия,Cody Miller,Ливерпуль,полузащитник,45,10
Англия,Kathryn Gonzalez,Челси,защитник,132,8
Россия,Jessica Wilson,Зенит,нападающий,54,17
Аргентина,Frederick Smith,Ривер Плейт,вратарь,141,-28
Германия,Jacqueline Smith,Бавария,полузащитник,147,25
Англия,Justin Fitzgerald,Манчестер Юнайтед,защитник,31,15
Аргентина,Christopher Norris,Ривер Плейт,вратарь,134,-23
Испания,Kayla Burke,Атлетико Мадрид,защитник,150,16
Аргентина,Jason Merritt,Бока Хуниорс,защитник,137,13
Португалия,Amy Murphy DVM,Порту,полузащитник,71,16
Нидерланды,Meagan Sparks,ПСВ,нападающий,125,34
Италия,Nathan Martinez,Интер,вратарь,131,-24
Португалия,Karen Preston,Спортинг,полузащитник,147,25
Нидерланды,Lisa Foster,Аякс,полузащитник,105,25
Испания,Amber Steele,Барселона,защитник,113,17
Италия,Kiara Farley,Интер,полузащитник,22,8
Бразилия,Anita Parsons,Сантос,полузащитник,102,28
Нидерланды,Zoe Rice,Фейеноорд,защитник,35,0
Англия,Michael Garner,Челси,полузащитник,56,26
